metric,value,unit,provenance
audited_cases,400,count,cases
valid_a,147,count,cases
valid_b,175,count,cases
invalid,78,count,cases
accepted,306,count,cases
eligible,322,count,cases
shared,257,count,cases
accepted_only,49,count,cases
eligible_only,65,count,cases
neither,29,count,cases
union,371,count,cases
membership_difference,114,count,cases
membership_difference_rate,0.285,proportion,cases
jaccard_overlap,0.69272237,proportion,cases
accepted_precision,0.83986928,proportion,cases
eligible_retention,0.79813665,proportion,cases
net_size_difference,16,count,cases
net_size_difference_relative_to_eligible,0.04968944,proportion,cases
invalid_type_failures,58,count,cases
invalid_affiliation_failures,22,count,cases
invalid_type_affiliation_overlap,2,count,cases
false_supported_type_failures,46,count,cases
false_supported_affiliation_failures,4,count,cases
false_supported_type_affiliation_overlap,1,count,cases
reviewer_exact_agreement_count,331,count,aggregate
reviewer_exact_agreement_rate,0.8275,proportion,aggregate
reviewer_collapsed_agreement_count,367,count,aggregate
reviewer_collapsed_agreement_rate,0.9175,proportion,aggregate
third_adjudication_cases,69,count,aggregate
conference_source_labeled,38,count,aggregate
conference_excluded_by_type,38,count,aggregate
conference_eligible,34,count,cases+aggregate
